¿Cuál es la rama mayoritaria del Islam?,Historia,Chiísmo,#Sunismo,Jariyismo,Sufismo
¿De qué fue ministro Manuel Fraga durante el franquismo?,Historia,De Interior,De Economía,#De Información y Turismo,Del Ejército
¿En qué año tuvo lugar el ataque a Pearl Harbor?,Historia,1939,1940,#1941,1942
¿Las revueltas de dónde son llamadas Intifadas?,Historia,Montenegro,Kosovo,#Palestina,Chechenia
La Comuna de París fue un movimiento...,Historia,Del mayo de 68,Hippie de los años 60,#Insurrecional autogestionario del XIX,De la revolución francesa
A qué dirigente latinoamericano mandó callar Juan Carlos de Borbón?,Historia,Evo Morales,Fidel Castro,#Hugo Chávez,Rafael Correa
¿Quiénes fueron los sans-culottes de la Revolución Francesa?,Historia,La burguesía durante la Revolución,#La principal masa social revolucionaria,El nombre despectivo de los burgueses,Ninguna es correcta
¿Qué otro nombre recibió el período de la Gran Hambruna China?,Historia,Tres años de desastres naturales,Tres años de dificultades económicas,Tres años amargos,#Todas son correctas
¿Cuántos soldados argentinos murieron en la Guerra de las Malvinas?,Historia,#649,200,987,1452
¿Cuál es la ciudad más antigua de América Latina?,Historia,#Caral,Valparaíso,Arequipa,La Paz
¿A qué presidente ceso el rey Alfonso XIII tras las reacciones que sucedieron a la Semana Trágica?,Historia,Eduardo Dato,#Antonio Maura,Segismundo Moret,Cánovas del Castillo
¿Quién pronunció la frase: "Bebamos de la copa de la destrucción"?,Historia,Margaret Tatcher,Mussolini,#Gengis Kan,Berlusconi
¿Con qué emperador estuvo casada Cleopatra?,Historia,Ptolomeo XIV,Julio César,Marco Antonio,#Todas son correctas
¿En qué partido se organizan hoy los carlistas?,Historia,#Comunión Tradicionalista Carlista,Partido Carlista,Ambas son correctas,Ninguna es correcta
El Renacimiento marcó el inicio de la Edad...,Historia,#Moderna,Antigüedad clásica,Contemporánea,Media
¿Qué país fue dirigido por Stalin?,Historia,#Unión Soviética,Cuba,Alemania,Polonia
¿Qué se celebra el 8 de Marzo?,Historia,El día del trabajo,El día del medio ambiente,#El día de la mujer,El día del niño
¿Cuál de los siguientes políticos no ha estado implicado en la trama Gürtel?,Historia,Francisco Camps,Esteban González Pons,#Mariano Rajoy,Luis Bárcenas
¿Cuántos siglos duró el Siglo de Oro?,Historia,#Dos,Uno,Tres,Medio
¿Qué fue Dracón?,Historia,#Legislador,Comerciante,Médico,Guerrero
¿Quién es el actual presidente de México (2014)?,Historia,#Enrique Peña Nieto,Felipe Calderón Hinojosa,Hugo Chávez,Vicente Fox
¿Dónde surgió la filosofía?,Historia,#Grecia,España,Egipto,Japón
¿Para qué fue creado el plan Marshall en 1947?,Historia,Regalo,Conquista,#Reconstrucción,Comercio
¿Quién fue galardonado con el premio Nobel de la Paz en 2007?,Historia,Albert Einstein,#Albert Gore,Albert Schweitzer,Albert Van Bommel
