¿Cuál es el país menos turístico de Europa?&5b9ab89c0d3657113c8625d0&Liechtenstein,Armenia,Moldavia,Hungría
¿A qué país pertenece la isla de Tasmania?&5b9ab89c0d3657113c8625d0&Australia,Estados Unidos,Portugal,Ninguna es correcta
¿A qué país pertenece la isla de Tasmania?&5b9ab89c0d3657113c8625d0&Australia,Estados Unidos,Portugal,Ninguna es correcta
¿En cuál de los siguientes países NO hay ningún desierto?&5b9ab89c0d3657113c8625d0&Alemania,España,Chile,Mongolia
¿Cuál es el código internacional para Cuba?&5b9ab89c0d3657113c8625d0&CU,CA,CB,Ninguna es correcta
¿Cuál de estas características no pertenece al clima Mediterráneo?&5b9ab89c0d3657113c8625d0&Lluvias muy abundantes,Veranos secos y calurosos,Es un tipo de clima templado,Variables temperaturas en primavera
¿En cuál de los siguientes países NO hay ningún desierto?&5b9ab89c0d3657113c8625d0&Alemania,España,Chile,Mongolia
¿En qué país situarías la ciudad de Cali?&5b9ab89c0d3657113c8625d0&Colombia,Venezuela,Costa Rica,Chile
¿Qué es el Cabo de Creus?&5b9ab89c0d3657113c8625d0&El punto más oriental de la Península,El punto más oriental de España,El punto más oriental de Cataluña,Ninguna es correcta
¿A qué país pertenece la isla Mujeres?&5b9ab89c0d3657113c8625d0&México,Argentina,Colombia,Chile
¿Qué separa las franjas de Gaza y Cisjordania?&5b9ab89c0d3657113c8625d0&Israel,Un muro,Nada,Un río
¿En qué se dividen las rupias indias y pakistanís?&5b9ab89c0d3657113c8625d0&En paisas,En centavos,En céntimos,En peniques
¿En qué cordillera están la mayoría de las grandes montañas?&5b9ab89c0d3657113c8625d0&En el Himalaya,En el Karakórum,En los Andes,En las Montañas Rocosas
¿Que accidente geográfico se define como una pendiente vertical abrupta?&5b9ab89c0d3657113c8625d0&Un acantilado,Un barranco,Una montaña,Un puente
¿Cuál de las siguientes islas está más al sur?&5b9ab89c0d3657113c8625d0&Malta,Sicilia,Córcega,Cerdeña
¿Con cuántos países limita Argentina?&5b9ab89c0d3657113c8625d0&Cinco,Tres,Cuatro,Seis
¿Cuál es la capital de Suiza?&5b9ab89c0d3657113c8625d0&Berna,Zurich,Ginebra,Basilea
¿Cuál de las siguientes ciudades no es una ciudad santa?&5b9ab89c0d3657113c8625d0&Burgos,Santiago de Compostela,Hebrón,Asís
¿Cuál es la capital de Baréin?&5b9ab89c0d3657113c8625d0&Manama,Baréin,Ammán,Riad
¿De dónde es capital Thimbu?&5b9ab89c0d3657113c8625d0&De Bután,De Thimbu,De Nepal,Ninguna es correcta
¿Cuál de las siguientes especialidades NO es típica de la cocina estadounidense?&5b9ab89c0d3657113c8625d0&Todas son típicas,La hamburguesa,El pastel de cangrejo,La tarta de manzana
¿Cuál es principal celebración holandesa?&5b9ab89c0d3657113c8625d0&El día de la Reina,Navidad,La llegada del verano,Hallowen
¿Entre qué dos países está el lago Titicaca?&5b9ab89c0d3657113c8625d0&Bolivia y Perú,Bolivia y Paraguay,Bolivia y Brasil,Bolivia y Argentina
¿Qué ciudad europea es famosa por la belleza de su parlamento?&5b9ab89c0d3657113c8625d0&Budapest,París,Madrid,Praga
¿En qué país de África es el español el idioma oficial?&5b9ab89c0d3657113c8625d0&Ghana,Camerún,Gabón,Guinea Ecuatorial
¿Cuál es la capital del estado de Arkansas?&5b9ab89c0d3657113c8625d0&Little Rock,Kansas,Hot Springs,Washington
¿A qué país pertenece la Isla de Pascua?&5b9ab89c0d3657113c8625d0&Chile,Indonesia,Australia,Es un país
¿Qué país es bañado por la Bahía de Hudson?&5b9ab89c0d3657113c8625d0&Canadá,Estados Unidos,Reino Unido,Rep. de Irlanda
¿Cuál es el mayor golfo de África?&5b9ab89c0d3657113c8625d0&El de Guinea,El de Sirte,El de Gabés,Ninguna es correcta
¿Dónde queda el monumento a la mitad del mundo?&5b9ab89c0d3657113c8625d0&Quito,Bogota,Lima,Manaos
¿Qué es la UA?&5b9ab89c0d3657113c8625d0&Unión Africana,Unión Austrohúngara,Unión Americana,Unión Afroamericana
¿Cúales son las ciudades autónomas de España?&5b9ab89c0d3657113c8625d0&Ceuta y Melilla,Melilla y Alhucemas,Melilla y Nador,Ceuta y Villa Sanjurjo
¿Cuál es la capital del estado de California?&5b9ab89c0d3657113c8625d0&Sacramento,San Francisco,Los Ángeles,San Diego
¿Cuál de estos países no está en una isla?&5b9ab89c0d3657113c8625d0&Ghana,Japón,Jamaica,Madagascar
¿Cuál es la capital de Ecuador?&5b9ab89c0d3657113c8625d0&Quito,Lima,Bogota,Guayaquil
¿Cuál es la capital de Corea Del Sur?&5b9ab89c0d3657113c8625d0&Seúl,Busan,Pyongyang,Tegucigalpa
¿En qué mar desemboca el río Segura?&5b9ab89c0d3657113c8625d0&Mar Mediterráneo,Ninguna es correcta,Mar Cantábrico,Mar Báltico
¿A qué localidad manchega irías a por 'berenjenas'?&5b9ab89c0d3657113c8625d0&a Almagro,al Toboso,a Orejilla del Sordete,al Viso del Marqués
