¿Con qué país delimita Turkmenistan?,Geografía,Kirguinistan,Uzbequistan,Mongolia,Síria,
¿De dónde son famosos los cogollos?,Geografía,Tulebras ,Valdespartera,Villaconejos,Tudela
¿Cuántas comunidades autónomas hay en España?,Geografía,16,17,14,13
¿Cuál es la capital de Guyana?,Geografía,Georgetown,Washington,Tegucigalpa,Cayena
¿En qué isla del archipiélago canario se encuentra el volcán más alto de España?,Geografía,Mallorca ,Sicilia,El Hierro,Tenerife
¿En el territorio de qué país viven en la actualidad los dragones de Komodo?,Geografía,Malasia,Nueva Zelanda,China,Indonesia
¿Qué son Sol, Xi'An y Popayan?,Geografía,Estrellas,Pirámides,Civilizaciones extintas,Desiertos
¿Cuál es la isla más grande del archipiélago malayo?,Geografía,Nueva Guinea,Borneo,Sumatra,Célebes
¿Cuál es el río más caudaloso del mundo?,Geografía,El Orinoco,El Nilo,El Amazonas,El Congo
¿En qué provincia española se encuentran las ruinas romanas de Baelo Claudia?,Geografía,Sevilla,Cádiz,Tarragona,Cartagena
¿Cuál es la patrona de la ciudad de Zaragoza?,Geografía,Virgen de los Remedios,Virgen del Pilar,Virgen de los Desamparados,Virgen de Lourdes
¿En qué se dividen los pesos argentinos?,Geografía,En céntimos,En centavos,En peniques,Ninguna es correcta
¿Cuál es la capital de Azerbaijan?,Geografía,Bakú,Ereván,Skopje,Tumbktú
¿Cuál es la capital de Hungría?,Geografía,Kiev,Bucarest,Sofía,Budapest
¿Dónde desemboca el Río Magdalena?,Geografía,En el océano Pacífico,En el océano Atlántico,En el golfo de México,En el mar Caribe
¿Cuál es el nombre actual del antiguo Imperio Otomano?,Geografía,Turquia,Armenia,Pakistán,Rusia
¿Cuál es el océano más grande del mundo?,Geografía,Océano Índico,Océano Antártico,Océano Pacífico,Océano Atlántico
¿Cuál es la capital de Corea del Sur?,Geografía,Seul,Pyongyang,Phnom Phen,Riad
¿Qué localidad andaluza es famosa por sus 'molletes'?,Geografía,San Fernando,Utrera,Lucena,Antequera
¿Dónde está el palacio de Versalles?,Geografía,Madrid,París,Florencia,Viena
¿Cuál es la serpiente más venenosa que se conoce?,Geografía,Serpiente pitón,Serpiente de cascabel,La Mamba Negra,Cobra
¿Cuál es la capital del estado de Illinois?,Geografía,Chicago,Springfield,Aurora,Ninguna es correcta
¿En qué provincia española está Barbate?,Geografía,Jaén,Cádiz,Barcelona,Málaga
¿Qué provincias andaluzas limitan con Portugal?,Geografía,Cádiz y Huelva,Córdoba y Huelva,Solo Córdoba,Solo Huelva
¿A qué municipio pertenece el cabo de Gata?,Geografía,Nebrija,Nijar,Cádiz,Málaga
¿Qué país NO formó parte de la extinta Yugoslavia?,Geografía,Polonia,Serbia,Montenegro,Croacia
¿Dónde se encuentran Los Montes de Toledo?,Geografía,Francia,España,Italia,Madagascar
¿Dónde situarías el municipio de Orihuela?,Geografía,Murcia,Alicante,Castellón,Ninguna es correcta
¿Cuántos meridianos y paralelos hay en total?,Geografía,Infinitos,100,1000,Ninguno
¿En qué país latinoamericano está el famoso salar de Uyuni?,Geografía,Perú,Bolivia,Ecuador,Paraguay
¿Cómo es la bandera de Suiza?,Geografía,Fondo blanco y cruz roja,Fondo rojo y cruz blanca,Franjas rojas y blancas,Fondo blanco y círculo rojo
¿Dónde está la Tierra del Fuego?,Geografía,Argentina,Rusia,Mongolia,Congo
¿Cuál es la religión mayoritaria en Grecia?,Geografía,Catolicismo,Protestantismo,Cristianismo Ortodoxo,Islam
¿En qué continente se encuentra España?,Geografía,En África,En Asia,En Europa,En Oceanía
¿Cuál de estos es el plato típico de la Comunidad Valenciana?,Geografía,Gachamiga,Paella,Melón con jamón,Gazpacho
¿Qué vía artificial de navegación une al Mar Rojo y el Mar Mediterráneo?,Geografía,El canal de Suez,El canal de la mancha,El canal de Kiel,Ninguna es correcta
¿Dónde se encuentra Meirena de Aljarafe?,Geografía,Oviedo,Valencia,Madrid,Sevilla
¿Cuál es la mayor atracción turística de Córdoba, España?,Geografía,La catedral,La Torre del Oro,La Giralda,La Mezquita
¿Cuál es uno de los tragos típicos de Colombia?,Geografía,Tequila,Aguardiente,Chiape,Pisco
¿Cuál es la capital de Gran Canaria?,Geografía,Mas palomas,Vecindario,La Palma,Las Palmas
¿En qué país se encuentra la mayor cantidad del mundo de oro y diamantes?,Geografía,Sudáfrica,Brasil,Rusia,China
¿De dónde son típicos los 'Castellers'?,Geografía,Andorra,Catalunya,Valencia,Canarias
¿Cuándo es invierno en el hemisferio sur?,Geografía,De Diciembre a Marzo,De Marzo a Junio,De Junio a Septiembre,De Septiembre a Diciembre
¿De dónde son típicos los espetos?,Geografía,De Málaga,De Granada,De Barcelona,De Alicante
¿De qué país es danza nacional la cueca?,Geografía,Perú,Chile,España,Argentina
¿Cuál es la capital de Finlandia?,Geografía,Madrid,Helsinki,Estocolmo,Roma
¿Cuál es la capital del Sáhara Occidental?,Geografía,Jartum,Sáhara,El Aaiún,Ninguna es correcta
¿Cuál es la ciudad más poblada de Oceanía?,Geografía,Sidney,Melbourne,Auckland,Adelaida
¿Cuál es el país de orgien de la galletita pretzel?,Geografía,Austria,Alemania,Dinamarca,Rusia
¿En qué provincia se encuentra Elche?,Geografía,Valencia,Albacete,Alicante,Murcia
¿Dónde queda Panamá?,Geografía,América Central,América del Sur,América del Norte,Europa
¿Qué cataratas separan Brasil y Argentina?,Geografía,Cataratas del Niágara,Cataratas del Iguazú,Cataratas del Paraiso,Catararas del Krka
¿A qué país pertenece Gibraltar?,Geografía,España,Reino Unido,Portugal,Francia
¿Cuál es el país de Europa con mayor altitud media?,Geografía,Suíza,España,Italia,Noruega
¿Cuál es la moneda oficial de Costa Rica?,Geografía,Colón costarricense,Dólar costarricense,Lempira,Quetzal
¿Cuál es la región de origen de la mortadela?,Geografía,España,Austria,Francia,Italia
¿De qué país el panda es el animal nacional?,Geografía,Canadá,Tanzania,China,Australia
¿Cuál es el pico mas alto de España?,Geografía,Los Alpes,Los Pirineos,El Teide,Ninguna es correcta
¿Dónde se encuentra el Tribunal de Cuentas de la Unión Europea?,Geografía,Bruselas,Luxemburgo,Frankfurt,Estrasburgo
¿Cuál de estas ciudades no es de Argentina?,Geografía,Cali,Córdoba,Rosario,Mendoza
¿Cuál de los siguientes colores es el menos frecuente en las banderas d elos países árabes?,Geografía,Verde,Rojo,Blanco,Amarillo
¿Desde qué ciudad de España puedes ver el monte llamado Mujer Muerta "Jbell Musa"?,Geografía,Melilla,Ceuta,Tarifa,Badajoz
¿Cuál de los siguientes países no es una isla?,Geografía,Sri Lanka,Taiwan,Madagascar,Todos son islas
¿En qué continente se encuentra Yibuti?,Geografía,Ásia,África,Europa,América
¿Dónde está la torre Eiffel?,Geografía,En París,En Roma,En Budapest,En Turín
¿Cómo se llamaba la gran masa de tierra que formaba un solo gran continente?,Geografía,Tierra gigante,Atlas,Pangea,Continental
¿En qué país se construyó por primera vez una red de subterráneos en el mundo?,Geografía,Inglaterra,España,Italia,Alemania
¿Cuántas islas denominadas 'Conejera' hay en España?,Geografía,Una,Dos,Tres,Cuatro
¿En qué se divide colombia territorialmente, además de su Distrito Capital?,Geografía,Regiones,Entidades federeales,Estados,Departamentos
¿Cuál de las siguientes es una isla del archipiélago de Cabrera?,Geografía,Caracola,Llana,Conejera,De las cabras
¿De las siguientes ciudades, en cuál está la Estatua de la Libertad?,Geografía,Nueva York,Philadelphia,Los Ángeles,Chicago
¿Dónde está el barrio de Charlottenburg?,Geografía,Berlín,Viena,Londres,Ninguna es correcta
¿Dónde desemboca el río Ebro?,Geografía,Océano Atlántico,Estrecho de Gibraltar,Mar Mediterraneo,Golfo de Vizcaya
¿Con qué objeto se asocia a Italia visualmente?,Geografía,Una jarra de vino,Una bota,Una barra de pan,Un gorro
¿Qué océano baña el Cuerno de África?,Geografía,El Índico,El Atlántico,Ambos,Ninguno
¿En qué se dividen los pesos argentinos?,Geografía,En céntimos,En centavos,En peniques,Ninguna es correcta
¿Cuál es la capital de Georgia?,Geografía,Tiflis,Jesuralén,Zagreb,Riad
¿Cuál de estas provincias NO tiene costa?,Geografía,Toledo,Lugo,Girona,Huelva
¿Dónde se encuentra la isla de Koh Samui?,Geografía,Tailandia,India,Camboya,Vietnam
¿Cuál es la capital de Noruega?,Geografía,Bergen,Oslo,Estocolmo,Helsinki
¿De dónde es típica la fabada?,Geografía,Galicia,Cataluña,Andalucía,Asturias
¿En qué continente se encuentra el país de Irak?,Geografía,Oceanía,América,Europa,Asia
¿Que país no forma parte de la U.E.?,Geografía,Suecia,Suiza,Croacia,Portugal
¿En qué país se ubica el desierto de Atacama?,Geografía,Colombia,Perú,Bolivia,Chile
¿Dónde está el Parque "Los picos de Europa"?,Geografía,En los Montes de León,En la Cordillera Cantábrica,En los Pirineos,En el Macizo Galaico
¿A qué país pertenecen las Islas Feroe?,Geografía,Dinamarca,Noruega,Finlandia,Islandia
¿En qué país está la Costa Azul?,Geografía,Francia,Italia,España,Todas son correctas
¿Qué volcán destruyó la ciudad italiana de Pompeya?,Geografía,Stromboli,Etna,Vesubio,Ninguno
¿En qué provincia de Argentina se encuentra el obelisco?,Geografía,Córdoba,San Luís,Buenos Aires,Salta
¿Cuál fue la primer capital de Costa Rica?,Geografía,Alajuela,San José,Cartago,Heredia
¿Cuál es la capital de Uruguay?,Geografía,Montevideo,Punta del Este,Asunción,Ciudad de Uruguay
¿En qué provincia española está situado el desierto de Tabernas?,Geografía,Alicante,Murcia,Albacete,Almeria
¿Dónde se encuentra el enclave arqueológico de Petra, una ciudad excavada y esculpida en la piedra?,Geografía,En Egipto,En Irán,En Jordania,Ninguna es correcta
¿Cuál es el área urbana más poblada de la India?,Geografía,Bombay,Calcuta,Nueva Delhi,Ninguna es correcta
¿En qué ciudad se encuentra el distrito de Chamberi?,Geografía,Barcelona,Paris,Madrid,Vigo
¿En qué ciudad de Chile se realiza el festival de la Canción más importante de Latinoamérica?,Geografía,Santiago,Viña del Mar,Concepción,Los Ángeles
¿Con cuál de los siguientes países NO limita Colombia?,Geografía,Venezuela,Brasil,Guyana,Ecuador
